Z1,Z2,comp,tilt,angle,csl,gbe
92,42,0.5,340,73.73979529168804,25,6.6233217302425045
92,42,0.5,350,61.927513064147035,17.0,3.8653902597950824
92,42,0.5,370,46.39718102729637,29.0,5.7585541750306755
92,42,0.6,100,0,1,0.0
92,42,0.6,120,53.13010235415598,5,2.090733701000226
92,42,0.6,130,36.86989764584402,5.0,8.658432905784005
92,42,0.6,140,28.072486935852936,17,5.893922152067247
92,42,0.6,150,22.61986494804043,13.0,4.28395352281124
92,42,0.6,170,16.26020470831193,25.0,4.0410156181789905
92,42,0.6,190,12.68038349181981,41.0,3.785320745684791
92,42,0.6,230,67.38013505195957,13,7.240438120171576
92,42,0.6,340,73.73979529168804,25,6.252021619716527
92,42,0.6,350,61.927513064147035,17.0,4.385321936941037
92,42,0.6,370,46.39718102729637,29.0,7.488859772653601
92,42,0.7,100,0,1,0.0
92,42,0.7,120,53.13010235415598,5,4.497251627859449
92,42,0.7,130,36.86989764584402,5.0,11.37458238334375
92,42,0.7,140,28.072486935852936,17,7.453256184597961
92,42,0.7,150,22.61986494804043,13.0,4.779611622734085
92,42,0.7,170,16.26020470831193,25.0,5.124378362073365
92,42,0.7,190,12.68038349181981,41.0,5.017765405101822
92,42,0.7,230,67.38013505195957,13,8.436535306207302
92,42,0.7,340,73.73979529168804,25,8.462808856645577
92,42,0.7,350,61.927513064147035,17.0,4.727178389501719
92,42,0.7,370,46.39718102729637,29.0,8.944358086144309
92,42,0.8,100,0,1,0.0
92,42,0.8,120,53.13010235415598,5,4.501030669116334
92,42,0.8,130,36.86989764584402,5.0,11.685394155337688
92,42,0.8,140,28.072486935852936,17,8.612604937971408
92,42,0.8,150,22.61986494804043,13.0,5.8150086929408005
92,42,0.8,170,16.26020470831193,25.0,5.187733543170395
92,42,0.8,190,12.68038349181981,41.0,4.631134572570765
92,42,0.8,230,67.38013505195957,13,9.584546235380971
92,42,0.8,340,73.73979529168804,25,8.051211942505521
92,42,0.8,350,61.927513064147035,17.0,6.183818637390451
92,42,0.8,370,46.39718102729637,29.0,8.64313503788517
92,42,0.9,100,0,1,0.0
92,42,0.9,120,53.13010235415598,5,5.805543774224385
92,42,0.9,130,36.86989764584402,5.0,15.141998769348511
92,42,0.9,140,28.072486935852936,17,8.822931313228521
92,42,0.9,150,22.61986494804043,13.0,4.066238825537222
92,42,0.9,170,16.26020470831193,25.0,6.771532621876285
92,42,0.9,190,12.68038349181981,41.0,5.92025316418401
92,42,0.9,230,67.38013505195957,13,9.950794115142829
92,42,0.9,340,73.73979529168804,25,8.10075904275337
92,42,0.9,350,61.927513064147035,17.0,6.029209032703145
92,42,0.9,370,46.39718102729637,29.0,10.406091596837946
